canonical_role,role_family,keywords,aliases,strong_terms,exclude_terms
Data Analyst,analytics,data analyst,"business data analyst | data analytics specialist | data reporting analyst | data insights analyst | datenanalyst | daten analyst | data analystin | analytics project manager | sales analytics | reliability data analyst | power bi sql ssis | analyst | data strategist | analytics strategist | product data specialist | customer data consultant | data consultant | analytics consultant | data specialist | data quality specialist | data quality officer","sql | reporting | dashboard | insights | analytics | power bi | sql | tableau | product | consultant","ml | pipeline | architect"
Business Intelligence Analyst,bi,business intelligence analyst,"bi analyst | reporting analyst | insights analyst | business intelligence | sales analytics | bi specialist | data visualization specialist | data visualization analyst | visualization specialist","dashboard | reporting | tableau | power bi | bi","ml | pipeline"
BI Developer,bi,bi developer,"business intelligence developer | power bi developer | tableau developer | looker developer | bi engineer | dashboard developer | power bi h f | financial data developer | data process developer","power bi | tableau | looker | dashboard | bi | process | reporting","data scientist"
Analytics Engineer,engineering,analytics engineer,"data analytics engineer | analytics engineering | dbt engineer | modern analytics engineer | business intelligence engineer | bi engineer | bi analytics engineer","dbt | warehouse | modeling | analytics engineering","reporting | analyst"
Data Engineer,engineering,data engineer,"big data engineer | etl engineer | data pipeline engineer | data platform engineer | data infrastructure engineer | platform engineer | data engineering specialist | data operations engineer | ingénieur data | data ingénieur | data engineering | domaine data engineering | chef data engineering | data engineer confirmé | data devops engineer | data cloud experiment | data ingénieur nifi | procurement data steward | engineer | consultant data engineer | data integration specialist | etl specialist | integration engineer | big data administrator | hadoop administrator | data platform administrator | databricks developer | databricks expert | database administrator | dba | sap bods data services","spark | airflow | kafka | etl | pipeline | platform | cloud | devops | operations | big data | lead","bi"
Data Scientist,analytics,data scientist,"decision scientist | statistical scientist | data science | stage data scientist | scientist | statistical programmer | biostatistical programmer | actuarial data specialist | research data scientist | postdoc data scientist","statistics | modeling | python | experimentation | gen ai | lead","bi | reporting"
Machine Learning Engineer,ai_ml,machine learning engineer,"ml engineer | mlops engineer | applied machine learning engineer | ai trainer","model training | model deployment | mlops | pipeline | machine learning","bi | reporting"
AI Engineer,ai_ml,ai engineer,"artificial intelligence engineer | ai developer | artificial intelligence developer | generative ai engineer | genai engineer | llm engineer | ai systems engineer | ai architect | artificial intelligence architect | copilot architect | agents architect | platform engineer ai | ai platform engineer | ai agent developer | agent developer | ki engineer | kuenstliche intelligenz | ai engineer | ai programmer | ai specialist","llm | generative ai | ai systems | model serving | agents | copilot | artificial intelligence","bi | reporting"
AI Researcher,ai_ml,ai researcher,"artificial intelligence researcher | ai research scientist | research scientist ai | machine learning researcher","research | experimentation | novel models | artificial intelligence","engineer"
Applied Scientist,ai_ml,applied scientist,"applied data scientist | applied machine learning scientist | applied research scientist","applied research | experimentation | modeling","bi"
Research Engineer,ai_ml,research engineer,"research & development engineer | r&d engineer | ml research engineer | ai research engineer | research engineer","research systems | experimentation | prototyping","bi | reporting"
Data Architect,architecture,data architect,"data solutions architect | enterprise data architect | data platform architect | analytics architect | data architekt | solutions architect data | solutions architect ai | data modeler | data modeller","architecture | data modeling | platform design | schema","analyst | bi"
Data Manager,management,data manager,"data analytics manager | data science manager | manager data analytics | manager data science | teamlead data science | teamleitung cloud data services | manager | data steward | master data officer","team management | strategy | delivery | teamlead | teamleitung | governance","engineer"
Data Lead,management,data lead,"head of data | head of analytics | director of data | director data analytics | lead data engineer | lead data scientist | director","leadership | strategy | organization | lead | director","engineer"
